Ticker,Date,Current Ratio,Quick Ratio,D/E,ROA,ROE,Interest Coverage,X1,X2,X3,X4,X5
TCS.NS,2025-03-31,,,,0.30416152453501555,,,,,,,1.5994838030683647
TCS.NS,2024-03-31,,,,0.31347431529064723,,,,0.47820743057310056,,,1.6448934441341354
TCS.NS,2023-03-31,,,,0.2933985840683323,,,,0.5201634516989092,,,1.5694843753263117
TCS.NS,2022-03-31,,,,0.2708353943779414,,,,0.5522987124948768,,,1.3550178780898003
TCS.NS,2021-03-31,,,,,,,,,,,
INFY.NS,2024-03-31,,,,0.19167221448889427,,,,0.7599709495854263,,,1.1234037402408763
INFY.NS,2023-03-31,,,,0.19468390804597702,,,,0.7445794148380356,,,1.1893939393939394
INFY.NS,2022-03-31,,,,0.19048537447765992,,,,0.750369656059145,,,1.0486017357762778
INFY.NS,2021-03-31,,,,0.17625632377740302,,,,0.8153119730185497,,,0.9147386172006745
HDFCBANK.NS,2024-03-31,,,,0.014113253391037828,,,,0.0395846189313512,,,0.04503623224622428
HDFCBANK.NS,2023-03-31,,,,0.01923645491951583,,,,0.056212348029308086,,,0.04680045802811844
HDFCBANK.NS,2022-03-31,,,,0.018281982762334163,,,,0.0546181294420347,,,0.048282083881486366
HDFCBANK.NS,2021-03-31,,,,0.018130203135944586,,,,0.04993796365272949,,,0.05209530349144389
RELIANCE.NS,2024-03-31,,,,0.03964781040395538,,,,0.19350211220362803,,,0.513138487436688
RELIANCE.NS,2023-03-31,,,,0.04149602689011223,,,,0.18398239177918058,,,0.5461105328937914
RELIANCE.NS,2022-03-31,,,,0.04047904031900458,,,,0.16533759206222723,,,0.4640789776383392
RELIANCE.NS,2021-03-31,,,,0.03718404010862753,,,,0.1483932934305774,,,0.35340581223906536
ICICIBANK.NS,2024-03-31,,,,0.018720471064090527,,,,,,,0.0681920039037538
ICICIBANK.NS,2023-03-31,,,,0.017379017591424135,,,,,,,0.06851677626496035
ICICIBANK.NS,2022-03-31,,,,0.014327034350362864,,,,,,,0.06639364382057372
ICICIBANK.NS,2021-03-31,,,,0.011681392531465884,,,,,,,0.07531994201133438
SBIN.NS,2025-03-31,,,,0.010604234975538643,,,,,,,0.049547553576212766
SBIN.NS,2024-03-31,,,,0.009962410705113854,,,,0.010695210140138337,,,0.04972525233750143
SBIN.NS,2023-03-31,,,,0.00934569421182976,,,,0.007040704997213249,,,0.04540106059196109
SBIN.NS,2022-03-31,,,,0.006598516756800182,,,,0.0038042890482798035,,,0.04403958274885777
SBIN.NS,2021-03-31,,,,,,,,,,,
KOTAKBANK.NS,2025-03-31,,,,0.025149619617230484,,,,,,,0.08497025498606836
KOTAKBANK.NS,2024-03-31,,,,0.02372540564169312,,,,0.09770422384428819,,,0.09336540951738422
KOTAKBANK.NS,2023-03-31,,,,0.02405592247252815,,,,0.1024018784665122,,,0.08358279510364951
KOTAKBANK.NS,2022-03-31,,,,0.0221215695933173,,,,0.09603043607480029,,,0.08412173266146217
KOTAKBANK.NS,2021-03-31,,,,,,,,,,,
AXISBANK.NS,2025-03-31,,,,0.016931649411207898,,,,,,,0.05122659345946255
AXISBANK.NS,2024-03-31,,,,0.017379482524396216,,,,0.04299796686097803,,,0.0504522961882676
AXISBANK.NS,2023-03-31,,,,0.008046939509793518,,,,0.03553154704954998,,,0.04642591951092352
AXISBANK.NS,2022-03-31,,,,0.011807606780900972,,,,0.03395651278917181,,,0.042815297456892436
AXISBANK.NS,2021-03-31,,,,,,,,,,,
TECHM.NS,2025-03-31,,,,0.09555113553360528,,,,,,,1.190895503938689
TECHM.NS,2024-03-31,,,,0.054297663021951194,,,,0.5243254819959653,,,1.1974018736355345
TECHM.NS,2023-03-31,,,,0.10467940537296358,,,,0.5169814509471695,,,1.1546346631768476
TECHM.NS,2022-03-31,,,,0.1240475410457158,,,,0.5018954462488885,,,0.9949922778115786
TECHM.NS,2021-03-31,,,,,,,,,,,
WIPRO.NS,2024-03-31,,,,0.09584028585832555,,,,0.5474693676738175,,,0.7788589442227446
WIPRO.NS,2023-03-31,,,,0.09652821600548382,,,,0.5621293018841287,,,0.7695688633143452
WIPRO.NS,2022-03-31,,,,0.11322557270228747,,,,0.5108054063170068,,,0.7329014012464997
WIPRO.NS,2021-03-31,,,,0.12983111106834697,,,,0.561309737152919,,,0.7450140359908303
ITC.NS,2024-03-31,,,,0.222799036788645,,,,0.39392445464342624,,,0.7657457308461989
ITC.NS,2023-03-31,,,,0.22346290266127236,,,,0.4114928243058171,,,0.8179178226000076
ITC.NS,2022-03-31,,,,0.19729159696115237,,,,0.40502475098547686,,,0.7776560955894772
ITC.NS,2021-03-31,,,,0.17828928207121986,,,,0.39595756123398623,,,0.6631437848909432
LT.NS,2025-03-31,,,,0.014484613757071026,,,,,,,0.1960146404404885
LT.NS,2024-03-31,,,,0.012943955849948903,,,,0.2340498070767233,,,0.19750677242496803
LT.NS,2023-03-31,,,,0.031695616113597024,,,,0.22557717244356487,,,0.5499020727295656
LT.NS,2022-03-31,,,,0.027085964811643954,,,,0.20976810997589132,,,0.48637423811321645
LT.NS,2021-03-31,,,,,,,,,,,
HCLTECH.NS,2025-03-31,,,,0.16476540589706662,,,,,,,1.1090635185325552
HCLTECH.NS,2024-03-31,,,,0.15737093718993356,,,,0.5655812461789791,,,1.1015865379796947
HCLTECH.NS,2023-03-31,,,,0.15898555844600742,,,,,,,1.0861247604671826
HCLTECH.NS,2022-03-31,,,,0.15161793941572227,,,,0.6243415362842991,,,0.9620140846652365
HCLTECH.NS,2021-03-31,,,,,,,,,,,
