Ticker,Date,Current Ratio,Quick Ratio,D/E,ROA,ROE,Interest Coverage,X1,X2,X3,X4,X5,Sentiment Score,macro_stress
LT.NS,2023-03-31,,,,0.031695616113597,,,,0.2255771724435648,,,0.5499020727295656,0.0,1
LT.NS,2022-03-31,,,,0.0270859648116439,,,,0.2097681099758913,,,0.4863742381132164,0.0,1
LT.NS,2021-03-31,,,,,,,,,,,,0.0,0
HCLTECH.NS,2025-03-31,,,,0.1647654058970666,,,,,,,1.1090635185325552,0.0,0
HCLTECH.NS,2024-03-31,,,,0.1573709371899335,,,,0.5655812461789791,,,1.1015865379796947,0.0,0
HCLTECH.NS,2023-03-31,,,,0.1589855584460074,,,,,,,1.0861247604671826,0.0,1
HCLTECH.NS,2022-03-31,,,,0.1516179394157222,,,,0.6243415362842991,,,0.9620140846652364,0.0,1
HCLTECH.NS,2021-03-31,,,,,,,,,,,,0.0,0
BAJFINANCE.NS,2025-03-31,,,,0.0356937617171704,,,,,,,0.090868680526285,0.0,0
BAJFINANCE.NS,2024-03-31,,,,0.0384603920108717,,,,0.0986859267812812,,,0.0913561824745419,0.0,0
BAJFINANCE.NS,2023-03-31,,,,0.0418117366759013,,,,0.0992669995829977,,,0.0979808216736256,0.0,1
BAJFINANCE.NS,2022-03-31,,,,0.0330731114897255,,,,0.0905951017068423,,,0.0947371992471172,0.0,1
BAJFINANCE.NS,2021-03-31,,,,,,,,,,,,0.0,0
MARUTI.NS,2025-03-31,,,,0.1098734729692252,,,,,,,1.099552328603535,-0.05,0
MARUTI.NS,2024-03-31,,,,0.1169320022054463,,,,0.575772339680349,,,1.1696641895851612,-0.05,0
MARUTI.NS,2023-03-31,,,,0.0823197397231071,,,,0.5547221010226586,,,1.1332803375789706,-0.05,1
MARUTI.NS,2022-03-31,,,,0.0519653608910261,,,,0.65964195538172,,,1.140824185759924,-0.05,1
MARUTI.NS,2021-03-31,,,,,,,,,,,,-0.05,0
ULTRACEMCO.NS,2025-03-31,,,,0.0451700728100786,,,,,,,0.568113306828156,-1.0,0
ULTRACEMCO.NS,2024-03-31,,,,0.0694926619022775,,,,0.0984563700664302,,,0.7034397429178247,-1.0,0
ULTRACEMCO.NS,2023-03-31,,,,0.055412282014852,,,,0.0989889585997827,,,0.6821279534848298,-1.0,1
ULTRACEMCO.NS,2022-03-31,,,,0.0876118766819452,,,,0.0960747026731827,,,0.6168342264540196,-1.0,1
ULTRACEMCO.NS,2021-03-31,,,,,,,,,,,,-1.0,0
ASIANPAINT.NS,2025-03-31,,,,0.1207462817778717,,,,,,,1.1128032749263534,-1.0,0
ASIANPAINT.NS,2024-03-31,,,,0.1824693750085633,,,,0.469116354081277,,,1.1823958556467382,-1.0,0
ASIANPAINT.NS,2023-03-31,,,,0.1591770679897666,,,,0.4406093495619815,,,1.3329990696953251,-1.0,1
ASIANPAINT.NS,2022-03-31,,,,0.1318530571756122,,,,0.3996593348981594,,,1.2591708742214844,-1.0,1
ASIANPAINT.NS,2021-03-31,,,,,,,,,,,,-1.0,0
HINDUNILVR.NS,2025-03-31,,,,0.1333124687030545,,,,,,,0.7797696544817225,0.0,0
HINDUNILVR.NS,2024-03-31,,,,0.1309188652084739,,,,0.1330335418285583,,,0.7766468362654302,0.0,0
HINDUNILVR.NS,2023-03-31,,,,0.1384651169154569,,,,0.1305840984032728,,,0.8147687003160616,0.0,1
HINDUNILVR.NS,2022-03-31,,,,0.125912900435356,,,,0.1172908660323042,,,0.7310010352113675,0.0,1
